original,cleaned
Apteryx_haasti,Apteryx_haastii
Casurarius_bennetti,Casuarius_bennetti
Penelope_purpurescens,Penelope_purpurascens
Lagopus_leucurus,Lagopus_leucura
Picoides_major,Dendrocopos major
Eudynamys_scolopacea,Eudynamys_scolopaceus
Agleactis_cupripennis,Aglaeactis cupripennis
Nyctea_scandiaca,Bubo_scandiacus
Otus_asio,Megascops_asio
Otus_trichopsis,Megascops_trichopsis
Caprimulgus_europeus,Caprimulgus_europaeus
Phalaenoptilus_nuttalli,Phalaenoptilus_nuttallii
Streptopelia_senegalensis,Spilopelia_senegalensis
Scardefella_inca,Scardafella_inca
Pterocles_orientalisa,Pterocles_orientalis
Catharactus_skua,Stercorarius_skua
Catharactus_maccormicki,Stercorarius_maccormicki
Anhinga_rufa_(anhinga),Anhinga_rufa
Botaurus_lentigosus,Botaurus_lentiginosus
Hydranassa_caerula,Egretta_caerulea
Hydranassa_tricolor,Egretta_tricolor
Eudocimus_albus_(pGuara_alba),Eudocimus_albus
Pelecanus_conspicullatus,Pelecanus_conspicillatus
Eudyptula_albosignata,Eudyptula_minor
Aptenodytes_patagonica,Aptenodytes_patagonicus
Pelacanoides_georgicus,Pelecanoides_georgicus
Pelacanoides_urinatrix,Pelecanoides_urinatrix
Pterodroma_brevirostris,Lugensa_brevirostris
Puffinus_nativitatus,Puffinus_nativitatis
Diomedea_immutabilis,Phoebastria_immutabilis
Diomedea_chrysostoma,Thalassarche_chrysostoma
Tudus_viscivorus,Turdus_viscivorus
Sylivia_atricapilla,Sylvia_atricapilla
Vestriaria_coccinea,Vestiaria_coccinea
Pooectes_gramineus,Pooecetes_gramineus
Calamospiza_melanocoryx,Calamospiza_melanocorys
Cardinalis_sinuata,Cardinalis_sinuatus
Cacactua_tenuirostris,Cacatua_tenuirostris
Eolophus_roseicapillus,Eolophus_roseicapilla
Chalcophaps_inidica,Chalcophaps_indica
Ptilinopus_melanospila,Ptilinopus_melanospilus
Meitihreptus_lunatus,Melithreptus_lunatus
Philidonyris_novaehollandiae,Phylidonyris_novaehollandiae
Spermestes_cucullatus,Lonchura_cucullata
Padda_oryzivoraa,Padda_oryzivora
Amadina_fasciataa,Amadina_fasciata
Estrilda_melpodaa,Estrilda_melpoda
Loxoides_baileui,Loxioides_bailleui
Zonotricha_querula,Zonotrichia_querula
