original,cleaned
Chiropterotriton_bromeliacia,CUT
Desmognathus_ochrophaes,Desmognathus_ochrophaeus
Ensatina_eschscholtzi,Ensatina_eschscholtzii
Eurycea_pterophila?,Eurycea_pterophila
Gyrinophilus_danielsi,CUT
Gyrinophilus_porphyrictus,Gyrinophilus_porphyriticus
Hydromantes_sp.,CUT
Plethodon_spp.,CUT
Pseudoeurycea_belli,Pseudoeurycea_bellii
Pseudoeurycea_smithii,CUT
Thorius_sp.,CUT
Molga_torosa?,Taricha_torosa
Salamandra_maculosa,Salamandra_infraimmaculata
Triturus_vulgaris,Lissotriton_vulgaris
Colostethus_trinitatus,Mannophryne_trinitatis
Phyllobates_subpunctatus,Hyloxalus_subpunctatus
Hyla_crepitans,Hypsiboas_crepitans
Hyla_crucifer,Pseudacris_crucifer
Hyla_maxima,Hypsiboas_boans
Hyla_regilla,Pseudacris_regilla
Phyllomedusa_sauvagei,Phyllomedusa_sauvagii
Pternohyla_fodiens,Smilisca_fodiens
Hyperolius_parallelus,CUT
Kassina_weali,Semnodactylus_wealii
Ceratophrys_calcarata,CUT
Lepidobatrachus_llanensis,CUT
Leptodactylus_typhonius,Leptodactylus_fuscus
Physalaemus_pustulosus,Engystomops_pustulosus
Gastrophryne_carolinesis,Gastrophryne_carolinensis
Microhyla_carolinensis,CUT
Scaphiopus_bombifrons,Spea_bombifrons
Scaphiopus_hammondii,Spea_hammondii
Scaphiopus_holbrooki,Scaphiopus_holbrookii
Xenopus_mulleri,Xenopus_muelleri
Rana_aspersa,Pyxicephalus_adspersus
Rana_blythi,Limnonectes_blythii
Rana_cancrivora,Fejervarya_cancrivora
Rana_cyanophlyctis,Euphlyctis_cyanophlyctis
Rana_esculenta?,Rana_esculenta
Rana_hexadactyla,Euphlyctis_hexadactylus
Rana_magna,Limnonectes_visayanus
Rana_nicobariensis,Hylarana_nicobariensis
Chiromantis_petersi,CUT
Typhlonectes_compressicauda,Typhlonectes_natans
