original,cleaned
Anguilla_australis,Anguilla_australis_australis
Balistes_carolinensis,Balistes_capriscus
Chiloscyllium_plagiosum,CUT_ELASMO
Dasyatis_sabina,CUT_ELASMO
Encheliophis_homei,CUT
Erpetoichthys_calabaricus,CUT
Fundulus_parvipinnis,CUT
Genyagnus_monopterygius,CUT
Glossogobius_giuris,CUT
Kuhlia_sandvicensis,CUT
Lampetra_fluviatilis,CUT_LAMPREY
Lampetra_planeri,CUT_LAMPREY
Macrognathus_aculeatus,CUT
Monopterus_cuchia,CUT
Mugil_cephalus,CUT
Myxine_glutinosa,CUT_HAGFISH
Oreochromis_niloticus_niloticus,Oreochromis_niloticus_baringoensis
Petromyzon_marinus,CUT_LAMPREY
Protopterus_annectens_annectens,CUT_LUNGFISH
Salvelinus_alpinus,Salvelinus_alpinus_alpinus
Scyliorhinus_canicula,CUT_ELASMO
Scyliorhinus_stellaris,CUT_ELASMO
Squalus_acanthias,CUT_ELASMO
Torpedo_marmorata,CUT_ELASMO
