original,cleaned,reason
Antechinomys_laniger,CUT,Not in Bininda-Edmonds but FYI can easily add. Is in more recent Mitchell et al 2014 marsupial paper
Calomys_venustus,CUT,
Chroeomys_olivaceus,Akodon_olivaceus,
Cryptomys_darlingi,CUT,
Dobsonia_anderseni,CUT,
Eremitalpa_granti,CUT,
Miniopterus_gigas,Miniopterus_australis,"There is a Macroderma gigas, but it's mass is more than the species in the database"
Papio_anubis,CUT,"Note that there is taxonomic disagreement over baboons, but either way these species would be assigned to P. cynocephalus"
Papio_ursinus,CUT,"Note that there is taxonomic disagreement over baboons, but either way these species would be assigned to P. cynocephalus"
Procavia_habessinica,Procavia_capensis,
Procavia_johnstoni,Procavia_capensis,
Pseudocheirus_occidentalis,Pseudocheirus_peregrinus,
Sciurus_aberti,CUT,
Tachyglossus_setosus,Tachyglossus_aculeatus,
