Family,Genus,species,1216S,VO2RES (ml/h) 20C,Mass (g),VO2RES (ml/h) 25C,"Mass
(g)",VO2EX (ml/h) 20C,"Mass
(g)",VO2EX (ml/h) 25C,"Mass
(g)",Ref.
Lepidosirenidae,Lepidosiren,paradoxa,NC003342,--,--,--,--,--,--,--,--,
Phasianidae,Gallus,gallus,AP003319,--,--,--,--,--,--,--,--,
Hominidae,Homo,sapiens,AC000021,--,--,--,--,--,--,--,--,
Typhlonectidae,Typhlonectes,natans,NC002471,--,--,--,--,--,--,--,--,
Caeciliidae,Gegeneophis,ramaswamii,NC006301,--,--,--,--,--,--,--,--,
Rhinatrematidae,Rhinatrema,bivittatum,NC006303,--,--,--,--,--,--,--,--,
Hynobiidae,Hynobius,formosanus,NC008084,--,--,--,--,--,--,--,--,
Plethodontidae,Eurycea,bislineata,AY728217,--,--,--,--,--,--,--,--,
Ambystomatidae,Ambystoma,mexicanum,NC005797,--,--,--,--,--,--,--,--,
Alytidae,Alytes,obstetricans,*,--,--,--,--,--,--,--,--,
Alytidae,Discoglossus,galganoi,NC006690,--,--,--,--,--,--,--,--,
Alytidae,Discoglossus,pictus,*,1.142,30.71,--,--,8.166,30.7,--,--,-1
Arthroleptidae,Arthroleptis,variabilis,DQ283081,--,--,--,--,--,--,--,--,
Arthroleptidae,Trichobatrachus,robustus,AY843773,--,--,--,--,--,--,--,--,
Batrachophrynidae,Caudiverbera,caudiverbera,DQ283439,--,--,--,--,--,--,--,--,
Bombinatoridae,Bombina,orientalis,AY957562,0.149,2.62,0.34,3.79,1.23,2.6,--,--,(1) (2)
Brevicipitidae,Callulina,kreffti,AY326068,--,--,--,--,--,--,--,--,
Bufonidae,Atelopus,peruensis,AY819329 DQ158419,--,--,--,--,--,--,--,--,
Bufonidae,Bufo,alvarius,AY325984,--,--,--,--,--,--,--,--,
Bufonidae,Bufo,americanus,AY680206,1.377,27,2.937,40.4,28.053,27,34.098,40.4,-1
Bufonidae,Bufo,bankorensis,--,--,--,2.953,34.1,--,--,--,--,-3
Bufonidae,Bufo,boreas,AY325983,1.303,40.2,2.64,27.3,31.265,47.3,44.651,47.3,-1
Bufonidae,Bufo,bufo,AY325988,4.901,29,4.585,28.59,--,--,--,--,-1
Bufonidae,Bufo,calamita,--,0.511,8.67,--,--,6.777,8.7,--,--,-1
Dendrobatidae,Dendrobates,auratus,AY326036,0.142,2.09,0.159,1.77,1.773,1.95,2.036,1.5,-1
Dendrobatidae,Hyloxalus,subpunctatus,EU342693,0.089,0.65,--,--,0.257,0.65,--,--,-5
Dendrobatidae,Mannophryne,trinitatis,EU342504,--,--,0.201,1,--,--,--,--,-1
Dendrobatidae,Phyllobates,vittatus,*,--,--,--,--,--,--,--,--,
Dendrobatidae,Silverstoneia,nubicola,EU342579,0.031,0.28,0.044,0.27,0.143,0.25,0.164,0.25,-1
Dicroglossidae,Fejervarya,nicobariensis,AY326062,--,--,0.256,2.6,--,--,--,--,-1
Dicroglossidae,Hoplobatrachus,occipitalis,DQ283059,--,--,--,--,--,--,--,--,
Dicroglossidae,Limnonectes,magnus,AY313706,1.402,34.2,--,--,--,--,--,--,-1
Dicroglossidae,Occidozyga,martensii,--,0.524,9.3,0.887,9.3,--,--,--,--,-1
Eleutherodactylidae,Eleutherodactylus,coqui,EF493539,0.179,4.06,--,--,1.193,4.1,--,--,-1
Heleophrynidae,Heleophryne,purcelli,AY326072,--,--,--,--,--,--,--,--,
Hemisotidae,Hemisus,marmoratum,AY326070,--,--,--,--,--,--,--,--,
Hylidae,Acris,crepitans,EF566971,--,--,0.329,1.86,--,--,--,--,-1
Hylidae,Agalychnis,callidryas,AY843563,0.337,5.65,--,--,2.993,5.7,--,--,-1
Hylidae,Cyclorana,maini,--,--,--,0.342,5.1,--,--,7.634,5.11,-1
Hylidae,Cyclorana,platycephala,--,--,--,1.007,21.9,--,--,--,--,-6
Hylidae,Dendropsophus,labialis,AY843635,0.73,7.45,--,--,3.129,7.45,--,--,-5
Hylidae,Dendropsophus,microcephalus,EF566945,0.08,0.67,--,--,0.311,0.67,--,--,-5
Hylidae,Hyla,arenicolor,AY843603,0.3,3.37,--,--,2.839,3.4,--,--,-1
Hylidae,Hyla,chrysoscelis,EF566948,0.437,3.9,--,--,5.382,5.47,--,--,-1
Hylidae,Hyla,cinerea,AY549327,0.56,3.82,0.459,4.5,--,--,--,--,-1
Hylidae,Hyla,gratiosa,EF566966,--,--,1.443,9.8,--,--,--,--,-1
Hylidae,Hyla,versicolor,EF566950,0.603,6.09,1.525,7.6,6.222,6.1,--,--,-1
Hylidae,Hypsiboas,boans,AY843610,--,--,3.933,41.4,--,--,--,--,-1
Hylidae,Litoria,caerulea,AY843692,--,--,--,--,--,--,--,--,
Hylidae,Osteopilus,septentrionalis,AY843712,0.33,4.98,--,--,3.26,5,--,--,-1
Hylidae,Phyllomedusa,sauvagei,"AY326045
(as tomopterna)",--,--,1.803,17.5,--,--,--,--,-1
Hylidae,Pseudacris,crucifer,AY291100,0.144,1.3,--,--,1.356,1.3,--,--,-1
Hylidae,Pseudacris,nigrita,AY291078,--,--,0.162,1,--,--,--,--,-1
Hylidae,Pseudacris,regilla,AY291112,0.166,2.76,--,--,0.745,2.76,--,--,-1
Hylidae,Pseudacris,triseriata,EF472157,0.269,1.13,0.112,0.94,,,--,--,-1
Hylidae,Pseudis,paradoxa,AY326032,--,--,--,--,--,--,--,--,
Hylidae,Smilisca,fodiens,AY843743,0.514,15.13,--,--,5.995,15.1,--,--,-1
Hylidae,Trachycephalus,venulosa,AY326048,--,--,--,--,--,--,--,--,
Hyperoliidae,Hyperolius,marmoratus,AY326069,0.067,1,0.361,1.39,--,--,--,--,-7
Hyperoliidae,Hyperolius,parallelus,--,0.077,1,--,--,--,--,--,--,-1
Hyperoliidae,Hyperolius,tuberilinguis,--,0.068,1,--,--,--,--,--,--,-1
Hyperoliidae,Hyperolius,viridiflavus,"FJ151059
(as castaneus)",0.083,0.88,0.458,1.58,0.663,0.9,--,--,-7
