"species","mass","temp","MR","mean.mass","q10smr"
"Ambystoma_gracile",30.39,15,0.6352,30.39,3.922228
"Ambystoma_jeffersonianum",8.92,15,0.3158,8.92,1.949999
"Ambystoma_macrodactylum",3.414,15,0.1098,NA,NA
"Ambystoma_macrodactylum",3.7,15,0.4514,3.554124,1.374689
"Ambystoma_maculatum",13.1,5,0.3157,NA,NA
"Ambystoma_maculatum",11.75,5,0.3631,NA,NA
"Ambystoma_maculatum",11.9,10,0.3045,NA,NA
"Ambystoma_maculatum",11.75,10,0.5875,NA,NA
"Ambystoma_maculatum",15.83,15,0.3625,NA,NA
"Ambystoma_maculatum",13.4,15,1.3199,NA,NA
"Ambystoma_maculatum",11.75,15,1.2396,NA,NA
"Ambystoma_maculatum",0.512,20,0.0518,NA,NA
"Ambystoma_maculatum",12.9,25,1.677,NA,NA
"Ambystoma_maculatum",11.75,25,1.544,NA,NA
"Ambystoma_maculatum",12.9,30,1.7183,NA,NA
"Ambystoma_maculatum",11.75,30,1.5592,9.623585,3.329555
"Ambystoma_mexicanum",43.7,20,0.9614,NA,NA
"Ambystoma_mexicanum",21.3,22,0.3195,30.50918,2.128436
"Ambystoma_opacum",4.65,14,0.0865,NA,NA
"Ambystoma_opacum",5.8,15,0.464,5.193265,1.286995
"Ambystoma_talpoideum",7,15,0.56,7,3.457884
"Ambystoma_tigrinum",23,5,0.276,NA,NA
"Ambystoma_tigrinum",16.49,6,0.8595,NA,NA
"Ambystoma_tigrinum",15,10,0.8895,NA,NA
"Ambystoma_tigrinum",10.78,15,0.138,NA,NA
"Ambystoma_tigrinum",35,15,1.5484,NA,NA
"Ambystoma_tigrinum",16.49,15,1.3213,NA,NA
"Ambystoma_tigrinum",16.5,15,1.5246,NA,NA
"Ambystoma_tigrinum",29.4,23,2.9988,NA,NA
"Ambystoma_tigrinum",33.8,23,2.6026,NA,NA
"Ambystoma_tigrinum",23,25,1.978,NA,NA
"Ambystoma_tigrinum",8.1,25,0.891,NA,NA
"Ambystoma_tigrinum",35,25,1.7885,NA,NA
"Ambystoma_tigrinum",16.49,25,3.1908,NA,NA
"Ambystoma_tigrinum",14.9,25,1.5675,19.20684,5.785948
"Amphiuma_means",352,5,0.884,NA,NA
"Amphiuma_means",500,5,1.65,NA,NA
"Amphiuma_means",500,10,2.8,NA,NA
"Amphiuma_means",375,15,2.531,NA,NA
"Amphiuma_means",500,15,3.1,NA,NA
"Amphiuma_means",408,15,2.513,NA,NA
"Amphiuma_means",125,18,4.875,NA,NA
"Amphiuma_means",83,20,2.324,NA,NA
"Amphiuma_means",500,20,5.05,NA,NA
"Amphiuma_means",1270,21.5,17.304,NA,NA
"Amphiuma_means",376,25,5.038,NA,NA
"Amphiuma_means",500,25,9.25,NA,NA
"Amphiuma_means",500,27,15.8,NA,NA
"Amphiuma_means",500,30,35.3,392.839,22.60393
"Amphiuma_tridactylum",652,15,2.452,NA,NA
"Amphiuma_tridactylum",493,25,9.86,566.9533,20.43839
"Cryptobranchus_alleganiensis",514,5,4.4615,NA,NA
"Cryptobranchus_alleganiensis",511,15,10.6595,NA,NA
"Cryptobranchus_alleganiensis",423,25,13.0792,480.7376,52.70947
"Dicamptodon_ensatus",101.25,15,1.3061,NA,NA
"Dicamptodon_ensatus",24,15,0.7488,49.29503,6.106516
"Rhyacotriton_olympicus",2.6,15,0.2496,2.6,1.541228
"Aneides_ferreus",2.73,15,0.0743,NA,NA
"Aneides_ferreus",3.2,25,0.2118,2.955673,0.521441
"Aneides_flavipunctatus",4.57,15,0.1197,NA,NA
"Aneides_flavipunctatus",1.79,25,0.1421,2.860122,0.542116
"Aneides_hardii",0.97,5,0.0301,NA,NA
"Aneides_hardii",0.97,10,0.0359,NA,NA
"Aneides_hardii",0.97,15,0.0485,NA,NA
"Aneides_hardii",0.97,20,0.0514,NA,NA
"Aneides_hardii",0.97,25,0.0912,0.97,0.294235
"Aneides_lugubris",5.58,15,0.1495,NA,NA
"Aneides_lugubris",0.116,20,0.0447,0.804537,0.414152
"Batrachoseps_attenuatus",0.65,5,0.0166,NA,NA
"Batrachoseps_attenuatus",0.77,15,0.0318,NA,NA
"Batrachoseps_attenuatus",0.93,15,0.0453,NA,NA
"Batrachoseps_attenuatus",1.55,20,0.093,NA,NA
"Batrachoseps_attenuatus",0.931,20,0.0692,NA,NA
"Batrachoseps_attenuatus",0.74,25,0.0838,NA,NA
"Batrachoseps_attenuatus",0.93,25,0.0802,0.895625,0.256322
"Bolitoglossa_franklini",3.18,15,0.055,3.18,0.339614
"Bolitoglossa_morio",2.09,15,0.0445,2.09,0.274778
"Bolitoglossa_occidentalis",1.07,5,0.0196,NA,NA
"Bolitoglossa_occidentalis",0.97,15,0.0202,NA,NA
"Bolitoglossa_occidentalis",0.61,15,0.0168,NA,NA
"Bolitoglossa_occidentalis",0.98,25,0.1039,NA,NA
"Bolitoglossa_occidentalis",0.61,25,0.0673,0.823395,0.180045
"Bolitoglossa_subpalmata",1.63,5,0.0159,NA,NA
"Bolitoglossa_subpalmata",1.63,10,0.0251,NA,NA
"Bolitoglossa_subpalmata",1.63,15,0.0513,NA,NA
"Bolitoglossa_subpalmata",1.63,20,0.0708,1.63,0.261135
"Desmognathus_fuscus",0.8,5,0.0132,NA,NA
"Desmognathus_fuscus",1.17,5,0.0163,NA,NA
"Desmognathus_fuscus",2.07,5,0.035,NA,NA
"Desmognathus_fuscus",1.67,10,0.0525,NA,NA
"Desmognathus_fuscus",1.95,10,0.2139,NA,NA
"Desmognathus_fuscus",4.5,13,0.1935,NA,NA
"Desmognathus_fuscus",0.91,15,0.0291,NA,NA
"Desmognathus_fuscus",1.24,15,0.0423,NA,NA
"Desmognathus_fuscus",1.7,15,0.0584,NA,NA
"Desmognathus_fuscus",2.53,16.5,0.0972,NA,NA
"Desmognathus_fuscus",1.31,17,0.059,NA,NA
"Desmognathus_fuscus",2.26,20,0.1022,NA,NA
"Desmognathus_fuscus",2.09,20,0.0895,NA,NA
"Desmognathus_fuscus",1.92,20,0.0974,1.696588,0.415186
"Desmognathus_monticola",5.4,15,0.3078,NA,NA
"Desmognathus_monticola",3.43,20,0.1454,4.303719,1.07177
"Desmognathus_ochrophaeus",0.9,5,0.01,NA,NA
"Desmognathus_ochrophaeus",2.75,5,0.0338,NA,NA
"Desmognathus_ochrophaeus",1.17,5,0.0163,NA,NA
"Desmognathus_ochrophaeus",1.07,5,0.0173,NA,NA
"Desmognathus_ochrophaeus",0.9,10,0.017,NA,NA
"Desmognathus_ochrophaeus",2.68,10,0.0496,NA,NA
"Desmognathus_ochrophaeus",1.16,10,0.0341,NA,NA
"Desmognathus_ochrophaeus",0.9,14,0.02,NA,NA
"Desmognathus_ochrophaeus",1.965,15,0.1769,NA,NA
"Desmognathus_ochrophaeus",2.56,15,0.0822,NA,NA
"Desmognathus_ochrophaeus",1.24,15,0.0423,NA,NA
"Desmognathus_ochrophaeus",1.09,15,0.0392,NA,NA
"Desmognathus_ochrophaeus",0.9,17.5,0.045,NA,NA
"Desmognathus_ochrophaeus",1.4,17.5,0.051,NA,NA
"Desmognathus_ochrophaeus",1.6,17.5,0.0427,NA,NA
"Desmognathus_ochrophaeus",2.5,17.5,0.082,NA,NA
"Desmognathus_ochrophaeus",2.43,20,0.1196,NA,NA
"Desmognathus_ochrophaeus",1.11,20,0.0615,NA,NA
"Desmognathus_ochrophaeus",0.9,21,0.038,1.406094,0.281005
"Desmognathus_quadramaculatus",23.41,5,0.1639,NA,NA
"Desmognathus_quadramaculatus",16.4,5,0.4723,NA,NA
"Desmognathus_quadramaculatus",9.25,5,0.2646,NA,NA
"Desmognathus_quadramaculatus",10.1,10,0.4444,NA,NA
"Desmognathus_quadramaculatus",9.25,10,0.4033,NA,NA
"Desmognathus_quadramaculatus",22.28,15,0.43,NA,NA
"Desmognathus_quadramaculatus",16.8,15,0.9341,NA,NA
"Desmognathus_quadramaculatus",9.25,15,0.5337,NA,NA
"Desmognathus_quadramaculatus",2.24,20,0.0977,NA,NA
"Desmognathus_quadramaculatus",19.36,20,0.8267,NA,NA
"Desmognathus_quadramaculatus",13.3,20,0.9323,NA,NA
"Desmognathus_quadramaculatus",9.25,20,0.6216,NA,NA
