"species","mass","temp","MR","mean.mass","q10smr"
"Acipenser_transmontanus",900,10,27.72,NA,NA
"Acipenser_transmontanus",900,15,49.14,NA,NA
"Acipenser_transmontanus",950,15,50.54,916.3672,140.4107
"Ameiurus_nebulosus",74.9,25,4.87599,NA,NA
"Ameiurus_nebulosus",74.9,25,5.19057,NA,NA
"Ameiurus_nebulosus",74.9,25,5.243,NA,NA
"Ameiurus_nebulosus",74.9,25,5.29543,NA,NA
"Ameiurus_nebulosus",115,30,8.6135,NA,NA
"Ameiurus_nebulosus",116,10,1.624,NA,NA
"Ameiurus_nebulosus",147,20,6.8943,93.33772,10.43388
"Anguilla_anguilla",80,25,2.912,NA,NA
"Anguilla_anguilla",80,25,3.192,NA,NA
"Anguilla_anguilla",80,25,3.248,NA,NA
"Anguilla_anguilla",80,25,3.64,NA,NA
"Anguilla_anguilla",80,25,3.696,NA,NA
"Anguilla_anguilla",80,25,3.864,NA,NA
"Anguilla_anguilla",80,25,4.032,NA,NA
"Anguilla_anguilla",80,25,4.088,NA,NA
"Anguilla_anguilla",80,25,4.2,NA,NA
"Anguilla_anguilla",80,25,4.2,NA,NA
"Anguilla_anguilla",80,25,4.256,NA,NA
"Anguilla_anguilla",80,25,4.312,NA,NA
"Anguilla_anguilla",80,25,4.816,NA,NA
"Anguilla_anguilla",80,25,4.816,NA,NA
"Anguilla_anguilla",80,25,4.984,NA,NA
"Anguilla_anguilla",80,25,5.096,NA,NA
"Anguilla_anguilla",80,25,5.656,80,7.875761
"Anguilla_australis_australis",700,20,10.78,700,26.47665
"Anguilla_japonica",325,13,4.7775,NA,NA
"Anguilla_japonica",325,14.5,4.55,NA,NA
"Anguilla_japonica",325,14.5,5.005,NA,NA
"Anguilla_japonica",325,14.5,6.5975,NA,NA
"Anguilla_japonica",325,15,5.915,NA,NA
"Anguilla_japonica",325,15,7.0525,NA,NA
"Anguilla_japonica",325,16,8.19,NA,NA
"Anguilla_japonica",325,17,8.19,NA,NA
"Anguilla_japonica",325,17,9.555,NA,NA
"Anguilla_japonica",325,18,8.4175,NA,NA
"Anguilla_japonica",325,18,9.3275,NA,NA
"Anguilla_japonica",325,18.5,7.0525,NA,NA
"Anguilla_japonica",325,19,7.5075,NA,NA
"Anguilla_japonica",325,19,9.555,NA,NA
"Anguilla_japonica",325,19,11.83,NA,NA
"Anguilla_japonica",325,19.5,9.3275,NA,NA
"Anguilla_japonica",325,19.5,9.555,NA,NA
"Anguilla_japonica",325,20,8.4175,NA,NA
"Anguilla_japonica",325,20,10.01,NA,NA
"Anguilla_japonica",325,20,10.2375,NA,NA
"Anguilla_japonica",325,20,13.195,NA,NA
"Anguilla_japonica",325,20,13.65,NA,NA
"Anguilla_japonica",325,24,18.8825,NA,NA
"Anguilla_japonica",325,25,16.835,NA,NA
"Anguilla_japonica",325,26,26.1625,NA,NA
"Anguilla_japonica",325,27.5,26.6175,NA,NA
"Anguilla_japonica",325,29,24.57,NA,NA
"Anguilla_japonica",325,29,31.1675,NA,NA
"Anguilla_japonica",325,30,28.665,325,26.24907
"Anguilla_rostrata",214,15,4.1944,NA,NA
"Anguilla_rostrata",315,15,4.6305,259.6344,13.89294
"Arapaima_gigas",2300,28,40.25,NA,NA
"Arapaima_gigas",2300,28,46.69,NA,NA
"Arapaima_gigas",2300,28,48.3,2300,74.03686
"Balistes_capriscus",320,17.5,18.816,NA,NA
"Balistes_capriscus",395,17.9,25.991,NA,NA
"Balistes_capriscus",700,17.9,52.43,445.6033,80.96677
"Callionymus_lyra",48.7,11,1.84086,NA,NA
"Callionymus_lyra",85.7,11,3.23946,NA,NA
"Callionymus_lyra",105,11.5,1.5435,NA,NA
"Callionymus_lyra",105,11.5,1.9845,NA,NA
"Callionymus_lyra",105,11.5,2.4255,NA,NA
"Callionymus_lyra",105,11.5,2.646,NA,NA
"Callionymus_lyra",105,11.5,2.793,NA,NA
"Callionymus_lyra",105,11.5,3.087,NA,NA
"Callionymus_lyra",105,11.5,3.822,NA,NA
"Callionymus_lyra",105,11.5,4.116,NA,NA
"Callionymus_lyra",105,11.5,4.3365,NA,NA
"Callionymus_lyra",105,11.5,4.998,NA,NA
"Callionymus_lyra",105,11.5,5.2185,NA,NA
"Callionymus_lyra",105,11.5,5.5125,NA,NA
