"species","mass","temp","MR","mean.mass","q10smr"
"Akodon_longipilis",42.3,37.4,57.528,42.3,61.20968
"Acinonyx_jubatus",37900,39,8982,37900,8099.751
"Acomys_cahirinus",42,37.5,46.2,42,48.6511
"Acomys_russatus",55.55,37.25,42.9,55.55,46.35892
"Aconaemys_fuscus",112,37.3,120.96,112,130.0387
"Acrobates_pygmaeus",14,34.7,15.12,14,21.26799
"Aepyprymnus_rufescens",2820,36.5,1071.6,2820,1251.367
"Aethomys_namaquensis",64.2,36.82,56.7528,64.2,64.11667
"Agouti_paca",9156,37.2,2746.8,9156,2983.652
"Ailurus_fulgens",5740,37.6,878.22,5740,915.3009
"Akodon_azarae",24,37.7,40.8,24,42.08531
"Alopex_lagopus",3600,38.6,1374,3600,1291.356
"Ammospermophilus_leucurus",95.7,37.5,93.882,95.7,98.86283
"Anoura_caudifera",11.5,36.5,42.665,11.5,49.82231
"Antechinus_flavipes",46.5,35,45.105,46.5,61.50761
"Antechinus_stuartii",28.2,35.06666667,33.78589,28.23333,45.75579
"Antechinus_swainsonii",66.9,36.025,63,66.9,77.27176
"Aotus_trivirgatus",820,38,442,820,442
"Aplodontia_rufa",630,38,277.2,630,277.2
"Apodemus_flavicollis",23.9,36.7,43.259,23.9,49.48212
"Apodemus_hermonensis",20.5,37,50.02,20.5,55.46833
"Apodemus_mystacinus",40.4,35.5,56.0348,40.4,72.56234
"Apodemus_sylvaticus",23.9,36.7,43.259,23.9,49.48212
"Arborimus_longicaudus",21.8,37.3,58.86,21.8,63.27778
"Arctictis_binturong",14280,36.7,2284.8,14280,2613.485
"Arctogalidia_trivirgata",2010,36.2,552.75,2010,665.8114
"Artibeus_jamaicensis",45.2,36.4,76.84,45.2,90.66289
"Artibeus_lituratus",70.1,37.3,107.954,70.1,116.0566
"Arvicola_terrestris",92,37.5,106.6813,91.96667,112.3412
"Atelerix_albiventris",450,35.2,148.5,450,198.3583
"Auliscomys_micropus",62.3,37.4,97.811,62.3,104.0707
"Baiomys_taylori",7.15,36,17.0886,7.15,21.01403
"Bassariscus_sumichrasti",1280,38.8,633.6,1280,583.3028
"Bathyergus_janetta",406,34.7,215.18,406,302.6749
"Bathyergus_suillus",620,35.3,303.8,620,401.6257
"Bettongia_gaimardi",1385,35.6,641.255,1385,821.8529
"Bettongia_penicillata",1018,37.2,561.427,1018,609.8379
"Bradypus_variegatus",3790,33,685.992,3790,1150.339
"Burramys_parvus",44.3,36.1,36.769,44.3,44.75014
"Cabassous_centralis",4330,33.6,916.8,4330,1444.91
"Calomys_musculinus",16.9,36.2,27.59772,16.9,33.24265
"Caluromys_derbianus",329,35,225.0225,328.5,306.8528
"Canis_latrans",10000,37,2686.567,10000,2979.196
