Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Chordata,Vertebrata,Aves,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-shinned hawk,1.55,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas capensis,Cape teal,1.41,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas castanea,Chestnut-breasted teal,1.36,82.00,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.24,,NS,NS,GD,"Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.27,,FD,NS,GD,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia37: 1274-1276.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.44,80.00,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.46,,FCM,RBC,GD,"Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.49,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,1.54,,FCM,RBC,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anser anser domesticus,Domesticated goose,1.44,,FIA,RBC,GD,"Andraszek, K., E. Wojcik, A. Gruzewska, and E. Smalec (2009). Genome size of the European domestic goose (Anser anser domesticus). Canadian Journal of Animal Science 89: 449-455.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Anser rossii,Ross's goose,1.38,82.00,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.00,,NS,NS,GD,"Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.25,,BCA,RBC,GD,"Vendrely, R. and C. Vendrely (1950). Sur la teneur absolue en acide désoxyribonucléique du noyau cellulaire chez quelques espèces d'oiseaux et de poissons. Comptes Rendus de l'Académie des Sciences 230: 788-790.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.28,,BCA,"RBC, LV",HS,"Vendrely, R. and C. Vendrely (1949). La teneur du noyau cellulaire en acide désoxyribonucléique à travers les organes, les individus et les espèces animales: Etude particulière des Mammifères. Experientia 5: 327-329.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.33,,FD,RBC,GD,"Mirsky, A.E. and H. Ris (1951). The desoxyribonucleic acid content of animal cells and its evolutionary significance. Journal of General Physiology 34: 451-462.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina moschata,Muscovy duck,1.34,78.00,FD,NS,GD,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia37: 1274-1276.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cairina scutulata,White-winged wood duck,1.49,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape barren goose,1.42,80.00,FD,RBC,GD,"Venturini, G., R. D'Ambrogi, and E. Capanna (1986). Size and structure of the bird genome. I. DNA content of 48 species of Neognathae. Comparative Biochemistry and Physiology 85B: 61-65.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cygnus atratus,Black swan,1.45,,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cygnus buccinator,Trumpeter swan,1.54,,FCM,RBC,"HS, RT","Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cygnus melanocoryphus,Black-necked swan,1.53,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Cygnus olor,Mute swan,1.48,80.00,FCM,RBC,"GD, HS, V","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Dendrocygna viduata,White-faced whistling duck,1.37,,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Mergus cucullatus,Hooded merganser,1.23,82.00,FCM,RBC,"GD, HS, V","Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Mergus cucullatus,Hooded merganser,1.28,,FCM,RBC,"GD, HS, V","Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Mergus merganser,American merganser,2.00,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Netta rufina,Red-crested pochard,1.38,,FCM,RBC,"HS, OM","Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.",,
Chordata,Vertebrata,Aves,Anseriformes,Anatidae,Unknown sp.,Goose,1.08,,BCA,RBC,GD,"Vendrely, R. and C. Vendrely (1950). Sur la teneur absolue en acide désoxyribonucléique du noyau cellulaire chez quelques espèces d'oiseaux et de poissons. Comptes Rendus de l'Académie des Sciences 230: 788-790.",,
Chordata,Vertebrata,Aves,Apodiformes,Apodidae,Apus affinis,Little swift,1.38,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Apodidae,Apus caffer,White-rumped swift,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Apodidae,Chaetura egregia,Pale-rumped swift,1.13,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Apodidae,Chaetura vauxi,Vaux's swift,1.21,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Adelomyia melanogenys,Speckled hummingbird,1.08,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Aglaeactis castelnaudii,White-tufted sunbeam,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Aglaeactis cupripennis,Shining sunbeam,1.19,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Aglaiocercus kingi,Long-tailed sylph,1.04,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Aglaiocercus kingi,Long-tailed sylph,1.15,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Amazilia amazilia,Amazilia hummingbird,1.06,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Amazilia chionogaster,White-bellied hummingbird,1.24,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Amazilia lactea,Sapphire-spangled emerald,0.97,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Amazilia viridicauda,Green-and-white hummingbird,1.25,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Anthracothorax nigricollis,Black-throated mango,0.97,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Anthracothorax nigricollis,Black-throated mango,1.10,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Archilochus alexandri,Black-chinned hummingbird,0.91,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Archilochus alexandri,Black-chinned hummingbird,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Calypte anna,Anna's hummingbird,1.14,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Campylopterus largipennis,Grey-breasted sabrewing,1.00,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Campylopterus villaviscensio,Napo sabrewing,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Chalcostigma herrani,Rainbow-bearded thornbill,0.99,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Chalcostigma ruficeps,Rufous-capped thornbill,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Chalcostigma stanleyi,Blue-mantled thornbill,1.21,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Chrysuronia oenone,Golden-tailed wapphire,0.96,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Coeligena iris,Rainbow starfrontlet,1.04,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Coeligena torquata,Collared inca,1.20,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Coeligena violifer,Violet-throated starfrontlet,1.21,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
