"species","mass","temp","MR","mean.mass","q10smr","group","color"
"Acipenser_transmontanus",900,10,27.72,NA,NA,"fish","#1B9E77"
"Acipenser_transmontanus",900,15,49.14,NA,NA,"fish","#1B9E77"
"Acipenser_transmontanus",950,15,50.54,916.3672,140.4107,"fish","#1B9E77"
"Ameiurus_nebulosus",74.9,25,4.87599,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",74.9,25,5.19057,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",74.9,25,5.243,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",74.9,25,5.29543,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",115,30,8.6135,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",116,10,1.624,NA,NA,"fish","#1B9E77"
"Ameiurus_nebulosus",147,20,6.8943,93.33772,10.43388,"fish","#1B9E77"
"Anguilla_anguilla",80,25,2.912,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,3.192,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,3.248,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,3.64,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,3.696,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,3.864,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.032,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.088,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.2,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.2,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.256,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.312,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.816,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.816,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,4.984,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,5.096,NA,NA,"fish","#1B9E77"
"Anguilla_anguilla",80,25,5.656,80,7.875761,"fish","#1B9E77"
"Anguilla_australis_australis",700,20,10.78,700,26.47665,"fish","#1B9E77"
"Anguilla_japonica",325,13,4.7775,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,14.5,4.55,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,14.5,5.005,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,14.5,6.5975,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,15,5.915,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,15,7.0525,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,16,8.19,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,17,8.19,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,17,9.555,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,18,8.4175,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,18,9.3275,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,18.5,7.0525,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,19,7.5075,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,19,9.555,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,19,11.83,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,19.5,9.3275,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,19.5,9.555,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,20,8.4175,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,20,10.01,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,20,10.2375,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,20,13.195,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,20,13.65,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,24,18.8825,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,25,16.835,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,26,26.1625,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,27.5,26.6175,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,29,24.57,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,29,31.1675,NA,NA,"fish","#1B9E77"
"Anguilla_japonica",325,30,28.665,325,26.24907,"fish","#1B9E77"
"Anguilla_rostrata",214,15,4.1944,NA,NA,"fish","#1B9E77"
"Anguilla_rostrata",315,15,4.6305,259.6344,13.89294,"fish","#1B9E77"
"Arapaima_gigas",2300,28,40.25,NA,NA,"fish","#1B9E77"
"Arapaima_gigas",2300,28,46.69,NA,NA,"fish","#1B9E77"
"Arapaima_gigas",2300,28,48.3,2300,74.03686,"fish","#1B9E77"
"Balistes_capriscus",320,17.5,18.816,NA,NA,"fish","#1B9E77"
"Balistes_capriscus",395,17.9,25.991,NA,NA,"fish","#1B9E77"
"Balistes_capriscus",700,17.9,52.43,445.6033,80.96677,"fish","#1B9E77"
"Callionymus_lyra",48.7,11,1.84086,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",85.7,11,3.23946,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,1.5435,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,1.9845,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,2.4255,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,2.646,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,2.793,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,3.087,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,3.822,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,4.116,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,4.3365,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,4.998,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,5.2185,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,5.5125,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,5.586,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,5.9535,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.3945,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.5415,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.615,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.6885,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.8355,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,6.9825,NA,NA,"fish","#1B9E77"
"Callionymus_lyra",105,11.5,7.056,100.6577,15.76756,"fish","#1B9E77"
"Catostomus_commersonii",70,15,3.871,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",72,10,1.764,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",95,20,7.3815,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",100,10,2.45,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",100,10,2.8,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",100,15,5.6,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",100,20,5.25,NA,NA,"fish","#1B9E77"
"Catostomus_commersonii",100,20,7.7,91.20513,12.89285,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,2,14.238,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,2,17.402,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,2,19.775,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,2,22.939,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,27.685,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,31.64,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,34.804,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,37.177,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,38.759,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,4,39.55,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,24.521,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,30.849,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,31.64,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,33.222,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,38.759,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,6,51.415,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,8,29.267,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,8,30.849,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,10,29.267,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,10,30.849,NA,NA,"fish","#1B9E77"
"Chaenocephalus_aceratus",1130,10,35.595,1130,151.3969,"fish","#1B9E77"
"Channa_punctata",8.33,20,0.448987,NA,NA,"fish","#1B9E77"
"Channa_punctata",8.33,31,0.798847,NA,NA,"fish","#1B9E77"
"Channa_punctata",12.33,20,0.552384,NA,NA,"fish","#1B9E77"
"Channa_punctata",12.66,31,1.010268,NA,NA,"fish","#1B9E77"
"Channa_punctata",23.66,31,1.457456,NA,NA,"fish","#1B9E77"
"Channa_punctata",26.66,20,1.007748,NA,NA,"fish","#1B9E77"
"Channa_punctata",33.33,20,1.143219,NA,NA,"fish","#1B9E77"
"Channa_punctata",33.66,31,1.861398,NA,NA,"fish","#1B9E77"
"Channa_punctata",43,31,2.0769,NA,NA,"fish","#1B9E77"
"Channa_punctata",45.66,20,1.470252,NA,NA,"fish","#1B9E77"
"Channa_punctata",53.66,31,2.141034,NA,NA,"fish","#1B9E77"
"Channa_punctata",55,20,1.7325,NA,NA,"fish","#1B9E77"
"Channa_punctata",62,20,1.953,NA,NA,"fish","#1B9E77"
"Channa_punctata",67,31,2.4857,NA,NA,"fish","#1B9E77"
"Channa_punctata",75.33,31,2.742012,NA,NA,"fish","#1B9E77"
"Channa_punctata",75.66,20,2.38329,NA,NA,"fish","#1B9E77"
"Channa_punctata",81,31,2.9484,NA,NA,"fish","#1B9E77"
"Channa_punctata",85.66,20,2.638328,NA,NA,"fish","#1B9E77"
"Channa_punctata",93.66,20,2.884728,NA,NA,"fish","#1B9E77"
"Channa_punctata",97,31,3.4629,NA,NA,"fish","#1B9E77"
"Channa_punctata",102.33,20,3.151764,NA,NA,"fish","#1B9E77"
"Channa_punctata",105,31,3.675,NA,NA,"fish","#1B9E77"
"Channa_punctata",115,31,4.025,NA,NA,"fish","#1B9E77"
"Channa_punctata",125.66,31,4.3981,NA,NA,"fish","#1B9E77"
"Channa_punctata",134,31,4.69,48.48243,3.513215,"fish","#1B9E77"
"Cirrhinus_cirrhosus",3.4,20,0.14518,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",3.4,30,0.20468,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",4.24,30.5,0.706384,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",4.94,30.5,0.750386,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",11.3,30.5,1.61364,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",19.78,30.5,2.547664,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",23.32,30.5,2.873024,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",31.8,30.5,3.69516,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",48.76,30.5,5.29046,NA,NA,"fish","#1B9E77"
"Cirrhinus_cirrhosus",63.6,30.5,6.49992,NA,NA,"fish","#1B9E77"
