Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Struthioniformes,Struthioniformes,Struthionidae,Struthio camelus,-0.971,5.045,open,terrestrial,precocial,diurnal,Pair,migrant,vegetation
Casuariiformes,Casuariiformes,Dromaiidae,Dromaius novaehollandiae,-0.81,4.533,open,terrestrial,precocial,diurnal,Male only,migrant,omnivore
Casuariiformes,Casuariiformes,Casuariidae,Casuarius casuarius,-1.245,4.643,open,terrestrial,precocial,diurnal,Male only,nonmigrant,fruit
Anseriformes,Anseriformes,Anatidae,Dendrocygna autumnalis,-0.093,2.878,open,freshwater,precocial,diurnal,Pair,nonmigrant,vegetation
Anseriformes,Anseriformes,Anatidae,Dendrocygna viduata,-0.425,2.839,open,freshwater,precocial,diurnal,Pair,nonmigrant,vegetation
Anseriformes,Anseriformes,Anatidae,Dendrocygna bicolor,-0.189,2.879,open,freshwater,precocial,diurnal,Pair,nonmigrant,vegetation
Anseriformes,Anseriformes,Anatidae,Oxyura jamaicensis,-0.014,2.784,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Oxyura leucocephala,-0.032,2.82,open,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anser albifrons,-0.604,3.399,open,freshwater,precocial,diurnal,Occasional,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anser erythropus,-0.537,3.244,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anser fabalis,-0.586,3.44,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anser anser,-0.634,3.519,open,freshwater,precocial,diurnal,Occasional,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Anser caerulescens,-0.667,3.421,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Branta bernicla,-0.589,3.107,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Branta canadensis,-0.383,3.449,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Branta leucopsis,-0.559,3.226,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Cygnus columbianus,-0.769,3.805,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Cygnus cygnus,-0.802,3.971,open,freshwater,precocial,diurnal,Pair,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Cygnus atratus,-0.534,3.75,open,freshwater,precocial,diurnal,Pair,nonmigrant,vegetation
Anseriformes,Anseriformes,Anatidae,Cygnus olor,-0.719,4.029,open,freshwater,precocial,diurnal,Occasional,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Clangula hyemalis,-0.483,2.94,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Somateria fischeri,-0.678,3.192,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Somateria mollissima,-0.583,3.314,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Somateria spectabilis,-0.695,3.209,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Polysticta stelleri,-0.326,2.907,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Histrionicus histrionicus,-0.253,2.749,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Mergus merganser,-0.257,3.162,cavity,freshwater,precocial,diurnal,Female only,migrant,vertfishscav
Anseriformes,Anseriformes,Anatidae,Mergus serrator,-0.192,3.007,open,freshwater,precocial,diurnal,Female only,migrant,vertfishscav
Anseriformes,Anseriformes,Anatidae,Aix sponsa,-0.109,2.818,cavity,freshwater,precocial,diurnal,Female only,migrant,seed
Anseriformes,Anseriformes,Anatidae,Aix galericulata,-0.124,2.754,cavity,freshwater,precocial,diurnal,Female only,migrant,vegetation
Anseriformes,Anseriformes,Anatidae,Bucephala albeola,-0.142,2.599,cavity,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Bucephala clangula,-0.239,2.963,cavity,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Bucephala islandica,-0.166,2.964,cavity,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Melanitta nigra,-0.354,3.021,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Melanitta fusca,-0.392,3.255,open,freshwater,precocial,diurnal,Female only,migrant,invertebrate
Anseriformes,Anseriformes,Anatidae,Plectropterus gambensis,-0.479,3.588,open,freshwater,precocial,diurnal,Pair,nonmigrant,vegetation
